Id,L0_S5_F116,L3_S36_F3934,L1_S25_F2530,L3_S30_F3504,L2_S26_F3062,L1_S24_F1036,L1_S25_F2061,L1_S25_F2662,L3_S44_F4118,L1_S25_F2144,L1_S24_F1411,L1_S24_F1467,L1_S25_F2712,L0_S19_F459,L3_S37_F3946,L1_S25_F2990,L1_S24_F808,L1_S25_F2747,L3_S29_F3367,L1_S25_F2466,L1_S25_F2749,L1_S24_F1520,L3_S30_F3609,L1_S24_F829,L0_S3_F88,L1_S25_F2545,L1_S24_F790,L1_S25_F2682,L1_S25_F2504,L1_S24_F1426,L0_S15_F394,L1_S25_F2842,L0_S21_F517,L1_S24_F1068,L1_S25_F2096,L1_S25_F2808,L0_S0_F4,L1_S24_F1235,L0_S17_F433,L3_S41_F4002,L3_S30_F3579,L1_S25_F2176,L3_S35_F3884,L1_S24_F844,L2_S28_F3259,L3_S29_F3479,L0_S11_F294,L1_S24_F897,L1_S25_F2594,L0_S12_F338,Response
124,,,,-3.0,,,,,,,,,,,0.0,,,,0.37,,,,,,,,,,,,-0.08800000000000001,,,,,,,,,,,,0.0,,,161.0,,,,2.0,0
125,,0.0,,-5.0,,,,,,,,,,,0.0,,,,78.0,,,,-132.0,,0.0,,,,,,,,,,,,-0.197,,,,-0.018000000000000002,,,,,35.0,-115.0,,,,0
126,,,,1.0,,,,,,,,,,,0.0,,,,-228.0,,,,,,,,,,,,,,,,,,-0.197,,,,,,0.0,,,43.0,,,,,0
127,,,,4.0,-0.181,,,,,,,,,,0.0,,,,-0.097,,,21.0,255.0,,,,,,,,,,,,,,,,,,-0.108,,0.0,,,-16.0,,,,,0
131,0.35700000000000004,0.0,,-5.0,,,,,,,,,,,0.0,,,,-174.0,,,,99.0,,0.0,,,,,,,,,,,,348.0,,,,-0.018000000000000002,,,,,-47.0,,,,,0
135,,0.0,,-2.0,,,,,,,,,,,0.0,,,,0.04,,,,,,0.0,,,,,,,,,,,,-15.0,,,,,,,,,71.0,,,,,0
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215.0,,,2.0,,,,,,,,,,,0
137,,,,-2.0,-111.0,,,,,,,,,,0.0,,,,0.34600000000000003,,,-0.03,1.0,,,,,,,,,,,,,,,,,,0.16399999999999998,,0.0,,,-39.0,,,,,0
140,,,,,,,,,,,,,,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,-35.0,0.0,,,,,,,,,,113.0,0
142,0.3,,,0.0,,,,,,,,,,,0.0,,,,-0.118,,,,-33.0,,0.0,,,,,,,,,,,,-179.0,,,,-48.0,,0.0,,,31.0,0.333,,,,0
145,-94.0,,,-5.0,,,,,,,,,,,0.0,,,,-193.0,,,,1.0,,,,,,,,,,,,,,0.33,,,,-139.0,,0.0,,,-12.0,-53.0,,,,0
146,-35.0,,,-3.0,,,,,,,,,,,0.0,,,,121.0,,,,0.04,,0.0,,,,,,,,,,,,294.0,,,,0.013,,0.0,,,71.0,,,,,0
152,,0.0,,5.0,,,,,,,,,,,0.0,,,,0.15,,,,,,,,,,,,,,,,,,-215.0,,,,,,,,,98.0,,,,,0
153,,0.0,,5.0,,,,,,,,,,,0.0,,,,0.15,,,,,,,,,,,,,,,,,,-215.0,,,,,,,,,98.0,,,,,0
156,-64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,,0
159,,0.0,,4.0,,,,,,,,,,,0.0,,,,-193.0,,,,66.0,,0.0,,,,,,,,,,,,-33.0,,,,0.407,,,,,-0.02,,,,,0
160,,,,-3.0,,,,,,,,,,,0.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,71.0,,,,,0
162,,,,6.0,,,,,,,,,,,0.0,,,,-0.097,,,-79.0,-38.0,,,,,,,,,,,,,,,,,,-0.199,,0.0,,,-39.0,,,,,0
163,-172.0,0.0,,-3.0,,,,,,,,,,,0.0,,,,-66.0,,,,6.0,,,,,,,,,,,,,,3.0,,,,0.013,,,,,-63.0,-46.0,,,,0
165,,0.0,,-5.0,,,,,,,,,,,0.0,,,,-66.0,,,,136.0,,,,,,,,,,,,,,,,61.0,,-48.0,,,,,-78.0,,,,0.16899999999999998,0
166,,0.0,,1.0,,,,,,,,,,,0.0,,,,-228.0,,,183.0,,,,,,,,,,,,,,,,,,,,,,,,0.027000000000000003,,,,,0
169,,,,3.0,,,,,,,,,,,0.0,,,,78.0,,,,-95.0,,,,,,,,,,,,,,312.0,,,,0.013,,0.0,,,0.09,0.027000000000000003,,,,0
174,0.052000000000000005,0.0,,0.0,,,,,,,,,,,0.0,,,,-66.0,,,,,,0.0,,,,,,,,,,,,3.0,,,,,,,,,141.0,,,,,0
175,,,,3.0,,,,,,,,,,,0.0,,,,-0.054000000000000006,,,,,,,,,,,,,,,,,,-179.0,,,,,,0.0,,,0.09,0.211,,,,0
176,,,,3.0,,,,,,,,,,,0.0,,,,-0.054000000000000006,,,,,,,,,,,,,,,,,,-179.0,,,,,,0.0,,,0.09,0.211,,,,0
177,,,,3.0,,,,,,,,,,,0.0,,,,-0.054000000000000006,,,,,,,,,,,,,,,,,,-179.0,,,,,,0.0,,,0.09,0.211,,,,0
179,,0.0,,1.0,,,,,,,,,,-0.011,0.0,,,,23.0,,,,-0.006999999999999999,,,,,,,,,,0.029,,,,,,33.0,,-0.108,,,,,35.0,,,,-53.0,0
181,-0.14400000000000002,0.0,,1.0,,,,,,,,,,,0.0,,,,0.07,,,,-2.0,,,,,,,,,,,,,,348.0,,,,0.104,,,,,-71.0,,,,,0
183,0.241,,,0.0,,,,,,,,,,,0.0,,,,-0.097,,,,-67.0,,,,,,,,,,,,,,-0.052000000000000005,,,,43.0,,0.0,,,-0.02,-0.044,,,,0
184,0.241,,,0.0,,,,,,,,,,,0.0,,,,-0.097,,,,-67.0,,,,,,,,,,,,,,-0.052000000000000005,,,,43.0,,0.0,,,-0.02,-0.044,,,,0
185,,0.0,,-5.0,,,,,,,,,,,0.0,,,,293.0,,,,-0.093,,0.0,,,,,,,,,,,,-215.0,,,,-139.0,,,,,71.0,,,,,0
187,,,,-1.0,,,,,,,,,,,0.0,,,,0.056,,,,,,,,,,,,,,3.0,,,,,,192.0,,,,0.0,,,-0.02,,,,-109.0,0
188,,,,,53.0,,,,0.09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,,,0.0,,31.0,,,,,,,,,0
190,,,,-5.0,,,,,,,,,,,0.0,,,,293.0,,,,-0.108,,,,,,,,,,,,,,,,,,0.013,,0.0,,,31.0,,,,2.0,0
191,,,,-3.0,,,,,,,,,,,0.0,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,157.0,,,,-109.0,0
192,,0.0,,0.0,,,,,,,,,,,0.0,,,,-0.029,,,,-2.0,,,,,,,,,,,,,,0.33,,,,-0.018000000000000002,,,,,0.02,,,,,0
197,,0.0,,1.0,,,,,,,,,,,0.0,,,,-0.097,,,,131.0,,,,,,,,,,,,,,,,84.0,,-78.0,,,,,-47.0,,,,2.0,0
200,,,,0.0,,,,,,,,,,,0.0,,,,0.101,,,,84.0,,,,,,,,,,,,,,-161.0,,,,-0.018000000000000002,,0.0,,,-16.0,-77.0,,,,0
201,,,,0.0,,,,,,,,,,,0.0,,,,-0.097,,,,-0.059,,,,,,,,,,,,,,312.0,,,,73.0,,0.0,,,-51.0,4.0,,,,0
205,0.02,0.0,,4.0,,,,,,,,,,,0.0,,,,-146.0,,,,-75.0,,0.0,,,,,,,,,,,,-179.0,,,,-78.0,,,,,-55.0,,,,,0
206,0.07,0.0,,-3.0,,,,,,,,,,,0.0,,,,-0.07200000000000001,,,,,,0.0,,,,,,,,,,,,-0.197,,,,,,,,,,0.07400000000000001,,,,0
208,0.07,0.0,,-3.0,,,,,,,,,,,0.0,,,,-0.07200000000000001,,,,,,0.0,,,,,,,,,,,,-0.197,,,,,,,,,,0.07400000000000001,,,,0
209,,,,-3.0,,,,,,,,,,,0.0,,,,-193.0,,,,-0.108,,,,,,,,,,,,,,294.0,,,,-0.108,,0.0,,,31.0,,,,,0
216,0.32,0.0,,0.0,,,,,,,,,,,0.0,,,,0.15,,,,47.0,,,,,,,,,,,,,,312.0,,,,73.0,,,,,39.0,,,,,0
221,,0.0,,0.0,,,,,,,,,,,0.0,,,,-0.13699999999999998,,,,-0.006999999999999999,,,,,,,,12.0,,,,,,,,95.0,,73.0,,,,,0.0,,,,0.058,0
223,,,,-1.0,,,,,,,,,,,0.0,,,,121.0,,,,-2.0,,,,,,,,,,,,,,-0.052000000000000005,,,,-48.0,,0.0,,,-39.0,-77.0,,,,0
226,,,,6.0,,,,,,,,,,,0.0,,,,0.14800000000000002,,,,,,0.0,,,,,,,,,,,,-215.0,,,,,,0.0,,,-78.0,-2.0,,,,0
229,,,,0.0,,,,,,,,,,172.0,0.0,,,,-174.0,,,,0.097,,,,,,,,12.0,,,,,,,,69.0,,-0.018000000000000002,,0.0,,,-63.0,,,,-109.0,0
232,,0.0,,4.0,33.0,,,,,,,,,,0.0,,,,23.0,,,-62.0,-153.0,,,,,,,,,,,,,,,,,,-0.199,,,,,-12.0,,,,,0
235,,0.0,,-3.0,,,,,,,,,,,0.0,,,,366.0,,,,-85.0,,,,,,,,,,,,,,,,-0.006999999999999999,,-0.018000000000000002,,,,,-75.0,,,,113.0,0
237,,,,0.0,,,,,,,,,,,0.0,,,,-0.097,,,,42.0,,,,,,,,,,,,,,-179.0,,,,-0.018000000000000002,,0.0,,,-0.027000000000000003,,,,,0
240,,0.0,,0.0,,,,,,,,,,0.202,0.0,,,,-0.108,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,35.0,,,,2.0,0
242,191.0,,,4.0,,,,,,,,,,,0.0,,,,-0.097,,,,45.0,,,,,,,,,,,,,,0.33,,,,255.0,,0.0,,,-0.059,,,,,0
244,,,,4.0,55.0,,,,,,,,,,0.0,,,,131.0,,,102.0,-49.0,,,,,,,,,,,,,,,,,,-0.199,,0.0,,,-0.02,,,,,0
245,,,,0.0,,,,,,,,,,-0.011,0.0,,,,42.0,,,,0.037000000000000005,,,,,,,,,,-0.014,,,,,,,,0.34600000000000003,,0.0,,,-78.0,,,,-53.0,0
246,57.0,,,-4.0,,,,,,,,,,,0.0,,,,-0.054000000000000006,,,,,,,,,,,,,,,,,,-33.0,,,,,,0.0,,,78.0,,,,,0
247,0.009000000000000001,0.0,,1.0,135.0,,,,,,,,,,0.0,,,,-0.097,,,,-67.0,,,,,,,,,,,,,,294.0,,,,-139.0,,,,,-31.0,,,,,0
248,,,,-3.0,,,,,,,,,,,0.0,,,,0.056,,,,,,,,,,,,,,,,,,-179.0,,,,,,0.0,,,141.0,,,,,0
249,,0.0,,4.0,,,,,,,0.464,95.0,,,0.0,,,,131.0,,,,0.029,,,,,,,-25.0,,,,,,,,,,,-0.16899999999999998,,,,,-0.027000000000000003,,,,,0
250,,0.0,,6.0,,,,,,,,,,-73.0,0.0,,,,-0.05,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,2.0,0
254,,0.0,,-1.0,,,,,,,,,,,0.0,,,,0.23,,,,175.0,,0.0,,,,,,,,,,,,-0.052000000000000005,,,,-48.0,,,,,-39.0,,,,,0
255,,0.0,,-3.0,,,,,,,,0.403,,,0.0,,,,-0.118,,,,,,,,,,,,,,,,,,,-67.0,,,,,,,,24.0,,,,,0
256,,0.0,,0.0,,,,,,,,,,,0.0,,,,121.0,,,,-43.0,,0.0,,,,,,,,,,,,294.0,,,,-0.108,,,,,-0.059,,,,,0
257,25.0,,,0.0,0.022,,,,,,,,,,0.0,,,,131.0,,,,-77.0,,0.0,,,,,,,,,,,,-0.052000000000000005,,,,-0.108,,0.0,,,-0.027000000000000003,,,,,0
258,,0.0,,-1.0,0.04,,,,,,,,,,0.0,0.03,,,0.23,,,,-121.0,,,,,,,,,,,,,,,,,,0.013,,,,,-4.0,,,,,0
259,,0.0,,-3.0,,,,,,,,,,,0.0,,,,-0.17600000000000002,,,,,,,,,,,,-0.08800000000000001,,,,,,,,,,,,,,,129.0,,,,2.0,0
261,-91.0,0.0,,3.0,,,,,,,,,,,0.0,,,,131.0,,,,-0.01,,,,,,,,,,,,,,-0.197,,,,-0.16899999999999998,,,,,-31.0,,,,,0
264,,,,-3.0,,,,,,,,,,,0.0,,,,-146.0,,,,-31.0,,,,,,,,,,,,,,-15.0,,,,-48.0,,0.0,,,-75.0,65.0,,,,0
265,,,,1.0,,,,,,,,,,,0.0,,,,12.0,,,,-0.08800000000000001,,,,,,,,,,,,,,3.0,,,,73.0,,0.0,,,-63.0,,,,,0
268,,,,-5.0,,,,,,,,,,43.0,0.0,,,,-0.009000000000000001,,,,34.0,,,,,,,,,,-33.0,,,,,,,,0.16399999999999998,,0.0,,,8.0,,,,0.058,0
269,,,,4.0,0.08800000000000001,,,,,,,,,,0.0,-25.0,,,12.0,,,,0.029,,,,,,,,,,,,,,,,,,0.104,,0.0,,,-0.027000000000000003,,,,,0
277,,0.0,,2.0,,,,,,,,,,,0.0,,,,275.0,,,,,,0.0,,,,,,,,,,,,-179.0,,,,,,,,,63.0,,,,,0
280,,,,1.0,,,,,,,,,,,0.0,,,,-0.029,,,,-127.0,,,,,,,,,,,,,,0.33,,,,-0.108,,0.0,,,0.11,,,,,0
282,,0.0,,0.0,,102.0,,,,,,,,,0.0,,4.0,,12.0,,,,0.453,-57.0,,,-19.0,,,,,,,-0.12,,,,,,,43.0,,,138.0,,-47.0,,0.013,,,0
284,,,,1.0,,,,,,,,,,,0.0,,,,12.0,,,,-46.0,,,,,,,,12.0,,,,,,,,,,43.0,,0.0,,,-35.0,,,,0.058,0
285,,0.0,,-5.0,,,,,,,,,,,0.0,,,,42.0,,,,-31.0,,,,,,,,,,,,,,,,0.018000000000000002,,225.0,,,,,-55.0,,,,0.058,0
286,,0.0,,0.0,,,,,,,,,,-35.0,0.0,,,,0.15,,,,55.0,,,,,,,,12.0,,-45.0,,,,,,,,73.0,,,,,-67.0,,,,-109.0,0
287,,0.0,,-3.0,,,,,,,,,,,0.0,,,,-174.0,,,,34.0,,,,,,,,,,,,,,294.0,,,,0.013,,,,,-71.0,,,,,0
288,0.234,0.0,,6.0,,,,,,,,,,,0.0,,,,0.15,,,,-31.0,,0.0,,,,,,,,,,,,312.0,,,,73.0,,,,,-75.0,-33.0,,,,0
290,-99.0,,,-3.0,,,,,,,,,,,0.0,,,,-0.118,,,,-142.0,,,,,,,,,,,,,,-215.0,,,,0.104,,0.0,,,12.0,,,,,0
292,,0.0,,0.0,111.0,,,,,,,,,,0.0,,,,131.0,,,-65.0,0.058,,,,,,,,,,,,,,,,,,0.407,,,,,43.0,,,,,0
293,0.34700000000000003,,,4.0,,,,,,,,,,,0.0,,,,366.0,,,,-0.08199999999999999,,,,,,,,,,,,,,0.33,,,,-0.108,,0.0,,,-35.0,174.0,,,,0
295,,,,-2.0,,,,,,,,,,,0.0,,,,131.0,,,,-127.0,,,,,,,,,,,,,,-15.0,,,,-0.199,,0.0,,,43.0,,,,,0
297,,0.0,,0.0,,,,,,,,,,-49.0,0.0,,,,275.0,,,,,,,,,,,,,,,,,,,,0.229,,,,,,,102.0,,,,0.058,0
303,,,,-2.0,,,,,,,,,,,0.0,,,,-193.0,,,125.0,-23.0,,,,,,,,,,,,,,,,,,73.0,,0.0,,,-24.0,,,,,0
304,,0.0,,3.0,24.0,,,,,,,,,,0.0,,,,165.0,,,-95.0,,,,,,,,,,,,,,,,,,,,,,,,-24.0,,,,,0
307,,,,-4.0,,,,,,,,,,-84.0,0.0,,,,223.0,,,,,,,,,,,,,,-0.041,,,,,,,,,,0.0,,,39.0,,,,-53.0,0
308,,0.0,,-1.0,,,,,,,,,,,0.0,,,,-0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,2.0,0
309,,,,-2.0,,,,,,,,,,,0.0,,,,0.056,,,,,,,,,,,,,,,,,,-161.0,,,,,,0.0,,,71.0,,,,,0
312,-0.189,0.0,,0.0,,,,,,,,,,,0.0,,,,0.238,,,,-0.119,,0.0,,,,,,,,,,,,312.0,,,,73.0,,,,,8.0,,,,,0
314,,0.0,,1.0,0.08199999999999999,,,,,,,,,,0.0,,,,12.0,,,0.03,336.0,,,,,,,,,,,,,,,,,,255.0,,,,,-51.0,,,,,0
315,,,,3.0,,,,,,,,,,,0.0,,,,23.0,,,,-0.108,,,,,,,,,,,,,,0.33,,,,-139.0,,0.0,,,47.0,,,,,0
316,,,,6.0,25.0,,,,,,,,,,0.0,,,,131.0,,,,0.06,,,,,,,,,,,,,,-33.0,,,,-139.0,,0.0,,,-31.0,,,,,0
